#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
slime_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ê·À³Ä·»ìºÏÎï
end_stone                                         ([no block])                                                                     = ÈÛÈÚÄ©µØÊ¯
end_stone_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ä©µØÊ¯»ìºÏÎï
end_stone_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ä©µØÊ¯»ìºÏÎï
purpur                                            ([no block])                                                                     = ÈÛÈÚ×Ïçê
purpur_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-×Ïçê»ìºÏÎï
purpur_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-×Ïçê»ìºÏÎï
diamond                                           ([no block])                                                                     = ÈÛÈÚ×êÊ¯
diamond_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-×êÊ¯»ìºÏÎï
diamond_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-×êÊ¯»ìºÏÎï
emerald                                           ([no block])                                                                     = ÈÛÈÚÂÌ±¦Ê¯
emerald_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÂÌ±¦Ê¯»ìºÏÎï
emerald_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÂÌ±¦Ê¯»ìºÏÎï
copper_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Í­»ìºÏÎï
copper_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Í­»ìºÏÎï
tin_nak                                           ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Îı»ìºÏÎï
tin_nak_hot                                       ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Îı»ìºÏÎï
lead_nak                                          ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ç¦»ìºÏÎï
lead_nak_hot                                      ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ç¦»ìºÏÎï
boron                                             (tconstruct:molten_boron)                                                        = ÈÛÈÚÅğ
boron_nak                                         ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Åğ»ìºÏÎï
boron_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Åğ»ìºÏÎï
lithium                                           ([no block])                                                                     = ÈÛÈÚï®
lithium_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ï®»ìºÏÎï
lithium_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ï®»ìºÏÎï
magnesium                                         (tconstruct:molten_magnesium)                                                    = ÈÛÈÚÃ¾
magnesium_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ã¾»ìºÏÎï
magnesium_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ã¾»ìºÏÎï
manganese                                         ([no block])                                                                     = ÈÛÈÚÃÌ
manganese_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÃÌ»ìºÏÎï
manganese_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÃÌ»ìºÏÎï
aluminum_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÂÁ»ìºÏÎï
aluminum_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÂÁ»ìºÏÎï
silver_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Òø»ìºÏÎï
silver_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Òø»ìºÏÎï
fluorite                                          ([no block])                                                                     = ÈÛÈÚ·úÊ¯
fluorite_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-·úÊ¯»ìºÏÎï
fluorite_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-·úÊ¯»ìºÏÎï
villiaumite                                       ([no block])                                                                     = ÈÛÈÚ·úÑÎ
villiaumite_nak                                   ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-·úÑÎ»ìºÏÎï
villiaumite_nak_hot                               ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-·úÑÎ»ìºÏÎï
carobbiite                                        ([no block])                                                                     = ÈÛÈÚ·½·ú¼ØÊ¯
carobbiite_nak                                    ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-·½·ú¼ØÊ¯»ìºÏÎï
carobbiite_nak_hot                                ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-·½·ú¼ØÊ¯»ìºÏÎï
arsenic_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Éé»ìºÏÎï
arsenic_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Éé»ìºÏÎï
liquid_nitrogen_nak                               ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-µª»ìºÏÎï
liquid_nitrogen_nak_hot                           ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-µª»ìºÏÎï
liquid_helium_nak                                 ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-º¤»ìºÏÎï
liquid_helium_nak_hot                             ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-º¤»ìºÏÎï
enderium_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ä©Ó°»ìºÏÎï
enderium_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ä©Ó°»ìºÏÎï
cryotheum_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Áİ±ù»ìºÏÎï
cryotheum_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Áİ±ù»ìºÏÎï
basalt_fluid                                      (taiga:molten_basalt_fluid)                                                      = ÈÛÈÚĞşÎäÑÒ
tiberium_fluid                                    (taiga:molten_tiberium_fluid)                                                    = ÈÛÈÚÌ©²®ÀûÑÇ
aurorium_fluid                                    (taiga:molten_aurorium_fluid)                                                    = ÈÛÈÚ¼«¹â½ğÊô
prometheum_fluid                                  (taiga:molten_prometheum_fluid)                                                  = ÈÛÈÚÆÕÂŞÄ·
duranite_fluid                                    (taiga:molten_duranite_fluid)                                                    = ÈÛÈÚÄÍÁ¦½ğÊô
valyrium_fluid                                    (taiga:molten_valyrium_fluid)                                                    = ÈÛÈÚÍßÀ×ÀûÑÇ
vibranium_fluid                                   (taiga:molten_vibranium_fluid)                                                   = ÈÛÈÚÕñ½ğ
karmesine_fluid                                   (taiga:molten_karmesine_fluid)                                                   = ÈÛÈÚç³ºìÌú
jauxum_fluid                                      (taiga:molten_jauxum_fluid)                                                      = ÈÛÈÚÈôÊÏÌú
ovium_fluid                                       (taiga:molten_ovium_fluid)                                                       = ÈÛÈÚÅ·Î¬Ä·
terrax_fluid                                      (taiga:molten_terrax_fluid)                                                      = ÈÛÈÚµØÄ¸
palladium_fluid                                   (taiga:molten_palladium_fluid)                                                   = ÈÛÈÚîÙ
uru_fluid                                         (taiga:molten_uru_fluid)                                                         = ÈÛÈÚÎí½ğ
osram_fluid                                       (taiga:molten_osram_fluid)                                                       = ÈÛÈÚÈÛ¾§
abyssum_fluid                                     (taiga:molten_abyssum_fluid)                                                     = ÈÛÈÚÉîÔ¨½ğÊô
eezo_fluid                                        (taiga:molten_eezo_fluid)                                                        = ÈÛÈÚÁãËØ
triberium_fluid                                   (taiga:molten_triberium_fluid)                                                   = ÈÛÈÚÌ©²®Àû°²
fractum_fluid                                     (taiga:molten_fractum_fluid)                                                     = ÈÛÈÚËé½ğ
violium_fluid                                     (taiga:molten_violium_fluid)                                                     = ÈÛÈÚÉªÀ¶
proxii_fluid                                      (taiga:molten_proxii_fluid)                                                      = ÈÛÈÚÆÕÂŞ¿ËÏ£
tritonite_fluid                                   (taiga:molten_tritonite_fluid)                                                   = ÈÛÈÚäö½ğ
ignitz_fluid                                      (taiga:molten_ignitz_fluid)                                                      = ÈÛÈÚÑæ¾§
imperomite_fluid                                  (taiga:molten_imperomite_fluid)                                                  = ÈÛÈÚµÛ½ğ
solarium_fluid                                    (taiga:molten_solarium_fluid)                                                    = ÈÛÈÚÑô¹âºÏ½ğ
nihilite_fluid                                    (taiga:molten_nihilite_fluid)                                                    = ÈÛÈÚĞé½ğ
adamant_fluid                                     (taiga:molten_adamant_fluid)                                                     = ÈÛÈÚ¾«½ğ
dyonite_fluid                                     (taiga:molten_dyonite_fluid)                                                     = ÈÛÈÚÁÒ½ğ
nucleum_fluid                                     (taiga:molten_nucleum_fluid)                                                     = ÈÛÈÚ·ø¹âºÏ½ğ
lumix_fluid                                       (taiga:molten_lumix_fluid)                                                       = ÈÛÈÚÁ÷¹âºÏ½ğ
seismum_fluid                                     (taiga:molten_seismum_fluid)                                                     = ÈÛÈÚµØ¶¯ºÏ½ğ
astrium_fluid                                     (taiga:molten_astrium_fluid)                                                     = ÈÛÈÚê×½ğ
niob_fluid                                        (taiga:molten_niob_fluid)                                                        = ÈÛÈÚÄá²©
yrdeen_fluid                                      (taiga:molten_yrdeen_fluid)                                                      = ÈÛÈÚÔ­½ğ
iox_fluid                                         (taiga:molten_iox_fluid)                                                         = ÈÛÈÚÀë½ğ
meteorite_fluid                                   (taiga:molten_meteorite_fluid)                                                   = ÈÛÈÚÔÉÌú
obsidiorite_fluid                                 (taiga:molten_obsidiorite_fluid)                                                 = ÈÛÈÚºÚÔÉÌú
nitronite_fluid                                   (taiga:molten_nitronite_fluid)                                                   = ÈÛÈÚÏõ»¯ºÏ½ğ
dilithium_fluid                                   (taiga:molten_dilithium_fluid)                                                   = ÈÛÈÚË«ï®
mist.acid                                         (mist:acid_block)                                                                = ËáÒº
infected_purlonite_water_fluid                    (moreplanets:infected_purlonite_water_fluid)                                     = Infected Purlonite Water
infected_purlonite_lava_fluid                     (moreplanets:infected_purlonite_lava_fluid)                                      = Infected Purlonite Lava
cheese_milk_fluid                                 (moreplanets:cheese_milk_fluid)                                                  = Cheese Milk
gaseous_cheese_milk                               (moreplanets:gaseous_cheese_milk)                                                = Gaseous Cheese Milk
infected_water_fluid_mp                           (moreplanets:infected_water_fluid_mp)                                            = Infected Water
helium_gas                                        (moreplanets:helium_gas)                                                         = º¤Æø
nuclear_waste_fluid                               (moreplanets:nuclear_waste_fluid)                                                = ºË·ÏÁÏ
purified_water_fluid                              (moreplanets:purified_water_fluid)                                               = Purified Water
soulium                                           (mysticalagradditions:molten_soulium)                                            = ÈÛÈÚÀë»ê
base_essence                                      (mysticalagradditions:molten_base_essence)                                       = ÈÛÈÚ»ù´¡¾«»ª
inferium                                          (mysticalagradditions:molten_inferium)                                           = ÈÛÈÚÏÂ¼¶¾«»ª
prudentium                                        (mysticalagradditions:molten_prudentium)                                         = ÈÛÈÚ³õ¼¶¾«»ª
intermedium                                       (mysticalagradditions:molten_intermedium)                                        = ÈÛÈÚÖĞ¼¶¾«»ª
superium                                          (mysticalagradditions:molten_superium)                                           = ÈÛÈÚ¸ß¼¶¾«»ª
supremium                                         (mysticalagradditions:molten_supremium)                                          = ÈÛÈÚÖÕ¼«¾«»ª
alumite                                           (plustic:plustic.molten_alumite)                                                 = ÈÛÈÚÄÍËáÂÁ
refinedobsidian                                   (plustic:plustic.molten_refinedobsidian)                                         = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refinedglowstone                                  (plustic:plustic.molten_refinedglowstone)                                        = Ç¿»¯Ó«Ê¯
osgloglas                                         (plustic:plustic.molten_osgloglas)                                               = ÈÛÈÚï°Ó«ºÚê×ºÏ½ğ
osmiridium                                        (plustic:plustic.molten_osmiridium)                                              = ÈÛÈÚÒ¿ï°ºÏ½ğ
mirion                                            (plustic:plustic.molten_mirion)                                                  = ÈÛÈÚÔÌÄ§½á¾§
infinity                                          (plustic:plustic.molten_infinity)                                                = ÈÛÈÚÎŞ¾¡
desh                                              (plustic:plustic.molten_desh)                                                    = ÈÛÈÚ´÷Ë¹
titanium                                          (plustic:plustic.molten_titanium)                                                = ÈÛÈÚîÑ
elfsteel                                          (pewter:molten_elfsteel)                                                         = Molten ¾«Áé¸Ö
iciricium                                         (pewter:molten_iciricium)                                                        = Molten ±ùÎÆ½ğ
pewterfluid                                       (pewter:pewterfluid)                                                             = fluid.other.name
oliveoil                                          (rustic:olive_oil)                                                               = éÏé­ÓÍ
ironberryjuice                                    (rustic:ironberry_juice)                                                         = ÌúÊ÷İ®Ö­
wildberryjuice                                    (rustic:wildberry_juice)                                                         = Ò°İ®¹ûÖ­
grapejuice                                        (rustic:grape_juice)                                                             = ÆÏÌÑÖ­
applejuice                                        (rustic:apple_juice)                                                             = Æ»¹ûÖ­
alewort                                           (rustic:ale_wort)                                                                = ÂóÑ¿Ö­
ale                                               ([no block])                                                                     = Æ¡¾Æ
cider                                             ([no block])                                                                     = Æ»¹û¾Æ
ironwine                                          ([no block])                                                                     = ÌúÊ÷İ®¾Æ
mead                                              ([no block])                                                                     = ·äÃÛ¾Æ
wildberrywine                                     ([no block])                                                                     = Ò°İ®¾Æ
wine                                              ([no block])                                                                     = ÆÏÌÑ¾Æ
hydrochloric_acid                                 (qmd:fluid_hydrochloric_acid)                                                    = ÑÎËá
nitric_acid                                       (qmd:fluid_nitric_acid)                                                          = ÏõËá
sodium_chloride_solution                          (qmd:fluid_sodium_chloride_solution)                                             = ÂÈ»¯ÄÆÈÜÒº
sodium_nitrate_solution                           (qmd:fluid_sodium_nitrate_solution)                                              = ÏõËáÄÆÈÜÒº
lead_nitrate_solution                             (qmd:fluid_lead_nitrate_solution)                                                = ÏõËáÇ¦ÈÜÒº
sodium_tungstate_solution                         (qmd:fluid_sodium_tungstate_solution)                                            = ÎÙËáÄÆÈÜÒº
lead_tungstate_solution                           (qmd:fluid_lead_tungstate_solution)                                              = ÎÙËáÇ¦ÈÜÒº
liquid_hydrogen                                   (qmd:fluid_liquid_hydrogen)                                                      = ÒºÇâ
liquid_argon                                      (qmd:fluid_liquid_argon)                                                         = Òºë²
liquid_neon                                       (qmd:fluid_liquid_neon)                                                          = ÒºÄÊ
liquid_oxygen                                     (qmd:fluid_liquid_oxygen)                                                        = ÒºÑõ
mercury                                           (qmd:fluid_mercury)                                                              = ¹¯
hot_mercury                                       (qmd:fluid_hot_mercury)                                                          = ÈÈ¹¯
iodine                                            (qmd:fluid_iodine)                                                               = ÒºÌ¬µâ
neon                                              (qmd:fluid_neon)                                                                 = ÄÊÆø
chlorine                                          (qmd:fluid_chlorine)                                                             = ÂÈÆø
nitric_oxide                                      (qmd:fluid_nitric_oxide)                                                         = Ò»Ñõ»¯µª
nitrogen_dioxide                                  (qmd:fluid_nitrogen_dioxide)                                                     = ¶şÑõ»¯µª
compressed_air                                    (qmd:fluid_compressed_air)                                                       = Ñ¹Ëõ¿ÕÆø
silicon                                           (qmd:fluid_silicon)                                                              = ÈÛÈÚ¹è
yag                                               (qmd:fluid_yag)                                                                  = ÈÛÈÚîÆÂÁÊ¯ÁñÊ¯
nd_yag                                            (qmd:fluid_nd_yag)                                                               = ÈÛÈÚ²ôîÏîÆÂÁÊ¯ÁñÊ¯
tungsten                                          (qmd:fluid_tungsten)                                                             = ÈÛÈÚÎÙ
chromium                                          (qmd:fluid_chromium)                                                             = ÈÛÈÚ¸õ
hafnium                                           (qmd:fluid_hafnium)                                                              = ÈÛÈÚîş
calcium                                           (qmd:fluid_calcium)                                                              = ÈÛÈÚ¸Æ
strontium                                         (qmd:fluid_strontium)                                                            = ÈÛÈÚïÈ
yttrium                                           (qmd:fluid_yttrium)                                                              = ÈÛÈÚîÆ
neodymium                                         (qmd:fluid_neodymium)                                                            = ÈÛÈÚîÏ
samarium                                          (qmd:fluid_samarium)                                                             = ÈÛÈÚîÌ
terbium                                           (qmd:fluid_terbium)                                                              = ÈÛÈÚï«
erbium                                            (qmd:fluid_erbium)                                                               = ÈÛÈÚîï
ytterbium                                         (qmd:fluid_ytterbium)                                                            = ÈÛÈÚïî
bismuth                                           (qmd:fluid_bismuth)                                                              = ÈÛÈÚîé
polonium                                          (qmd:fluid_polonium)                                                             = ÈÛÈÚîÇ
radium                                            (qmd:fluid_radium)                                                               = ÈÛÈÚÀØ
antihydrogen                                      (qmd:fluid_antihydrogen)                                                         = ·´Çâ
antideuterium                                     (qmd:fluid_antideuterium)                                                        = ·´ë®
antitritium                                       (qmd:fluid_antitritium)                                                          = ·´ë°
antihelium3                                       (qmd:fluid_antihelium3)                                                          = ·´º¤-3
antihelium                                        (qmd:fluid_antihelium)                                                           = ·´º¤
positronium                                       (qmd:fluid_positronium)                                                          = Õıµç×ÓÅ¼ËØ
muonium                                           (qmd:fluid_muonium)                                                              = ¦ÌÇá×ÓÅ¼ËØ
tauonium                                          (qmd:fluid_tauonium)                                                             = ¦ÓÇá×ÓÅ¼ËØ
glueballs                                         (qmd:fluid_glueballs)                                                            = ½ºÇò
cinderfire_wort                                   (rusticthaumaturgy:cinderfire_wort)                                              = »ğÑæ²İÖ­
shimmerdew_wort                                   (rusticthaumaturgy:shimmerdew_wort)                                              = Ë®Òø»¨Â¶Ö­
viscous_wort                                      (rusticthaumaturgy:viscous_wort)                                                 = ÏËÃ«¹½Ö­
cinderfire_whiskey                                (rusticthaumaturgy:cinderfire_whiskey)                                           = »ğÑæ²İÍşÊ¿¼É
shimmerdew_spirits                                (rusticthaumaturgy:shimmerdew_spirits)                                           = Ë®Òø»¨Â¶ÁÒ¾Æ
viscous_brew                                      (rusticthaumaturgy:viscous_brew)                                                 = ÏËÃ«¹½Æ¡¾Æ
sakura.hot_spring_water                           (sakura:hot_spring_water)                                                        = ÎÂÈªË®
sakura.food_oil                                   (sakura:foodoil)                                                                 = Ê³ÓÃÓÍ
sakura.yeast_liquid                               (sakura:yeast_liquid)                                                            = ½ÍÄ¸Òº
sakura.maple_syrup                                (sakura:maple_syrup)                                                             = ·ãÌÇ½¬
sakura.grape_fluid                                (sakura:grape_fluid)                                                             = ÆÏÌÑÖ­
sakura.red_wine                                   (sakura:red_wine)                                                                = ºìÆÏÌÑ¾Æ
sakura.green_grape_fluid                          (sakura:green_grape_fluid)                                                       = ÂÌÆÏÌÑÖ­
sakura.white_wine                                 (sakura:white_wine)                                                              = °×ÆÏÌÑ¾Æ
sakura.champagne                                  (sakura:champagne)                                                               = ÏãéÄ
sakura.rum                                        (sakura:rum)                                                                     = ÀÊÄ·¾Æ
sakura.doburoku                                   (sakura:doburoku)                                                                = ×Ç¾Æ
sakura.sake                                       (sakura:sake)                                                                    = Çå¾Æ
sakura.shouchu                                    (sakura:shouchu)                                                                 = ÈÕ±¾ÉÕ¾Æ
sakura.beer                                       (sakura:beer)                                                                    = Æ¡¾Æ
sakura.vodka                                      (sakura:vodka)                                                                   = ·üÌØ¼Ó
sakura.brandy                                     (sakura:brandy)                                                                  = °×À¼µØ
sakura.whiskey                                    (sakura:whiskey)                                                                 = ÍşÊ¿¼É
sakura.liqueur                                    (sakura:liqueur)                                                                 = Àû¿Ú¾Æ
sakura.cocoa_liqueur                              (sakura:cocoa_liqueur)                                                           = ¿É¿ÉÀû¿Ú¾Æ
crystal_water                                     (thaumadditions:crystal_water)                                                   = ½á¾§Ö®Ë®
tamoltencerulean                                  (theaurorian:tamoltencerulean)                                                   = ÈÛÈÚ¾§À¶
tamoltenmoonstone                                 (theaurorian:tamoltenmoonstone)                                                  = ÈÛÈÚğ¨ÔÂÊ¯
tamoonwater                                       (theaurorian:tamoonwater)                                                        = ÔÂÂ¶
tamoltenauroriansteel                             (theaurorian:tamoltenauroriansteel)                                              = ÈÛÈÚ¼«¹â¸Ö
gravitite                                         (tinkersaether:molten_gravitite)                                                 = ÈÛÈÚÖØÁ¦¾§
valkyrie                                          (tinkersaether:molten_valkyrie)                                                  = ÈÛÈÚÅ®ÎäÉñ½ğÊô
royal_alloy                                       (tiths:molten_royal_alloy)                                                       = ÈÛÈÚÉİ»ªºÏ½ğ
stellarium                                        (tiths:molten_stellarium)                                                        = ÈÛÈÚºãĞÇ½ğÊô
hothium                                           (tiths:molten_hothium)                                                           = ÈÛÈÚ»ôË¹
cinnabar                                          (tiths:molten_cinnabar)                                                          = ÈÛÈÚË®Òø
immersed_silver                                   (tiths:molten_immersed_silver)                                                   = ÈÛÈÚ³ÁÒø
solita                                            (tiths:molten_solita)                                                            = ÈÛÈÚ¼á½ğ
magiga                                            (tiths:molten_magiga)                                                            = ÈÛÈÚÙ¤¸Ö
inert_witherium                                   (tiths:molten_inert_witherium)                                                   = ÈÛÈÚ¶èĞÔµòÁé
witherium                                         (tiths:molten_witherium)                                                         = ÈÛÈÚµòÁé
polarium                                          (tiths:molten_polarium)                                                          = ÈÛÈÚ¹´³Â
halleium                                          (tiths:molten_halleium)                                                          = ÈÛÈÚ¹şÀ×
altairium                                         (tiths:molten_altairium)                                                         = ÈÛÈÚºÓ¹Ä
cocoa                                             (tiths:molten_cocoa)                                                             = ÈÛÈÚ¿É¿É
tonium                                            (tiths:molten_tonium)                                                            = ÈÛÈÚ¶Û½ğ
irisia                                            (tiths:molten_irisia)                                                            = ÈÛÈÚ°¬ÈğÎ÷ÑÇ
oraclium                                          (tiths:molten_oraclium)                                                          = ÈÛÈÚÉñÚÍ¸Ö
steamium                                          (tiths:molten_steamium)                                                          = ÈÛÈÚÆø¸Ö
chloroplast                                       (tiths:molten_chloroplast)                                                       = ÈÛÈÚÒ¶ÂÌ
tanatonium                                        (tiths:molten_tanatonium)                                                        = ÈÛÈÚËşÀ­ÌØÄİÄ·
decurrium                                         (tiths:molten_decurrium)                                                         = ÈÛÈÚÉîÁ÷¸Ö
ender_turbulence                                  (tiths:molten_ender_turbulence)                                                  = Ä©Ó°ÂÒÁ÷
dirty_water                                       (tiths:molten_dirty_water)                                                       = ÎÛË®
shining_gel                                       (tiths:molten_shining_gel)                                                       = ÉÁ¹âÄı½º
liquid_chocolate                                  (candymod:liquid_chocolate_block)                                                = ÒºÌ¬ÇÉ¿ËÁ¦
liquid_candy                                      (candymod:liquid_candy_block)                                                    = ÒºÌ¬ÌÇ¹û
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = ÓªÑø¾«»ªÒº
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = ÉîÔ¨Â¶Ë®
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = ÇáÓ¯Ö®Æø
hootch                                            (enderio:block_fluid_hootch)                                                     = ÁÒ¾Æ
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = »ğ¼ıÈ¼ÁÏ
fire_water                                        (enderio:block_fluid_fire_water)                                                 = »ğÑæË®
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = ÒºÌ¬Ñô¹â
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = ÔÆÖ®¾«»ª
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Å¨ËõÔÆÖ®¾«»ª
flux_goo                                          (thaumcraft:flux_goo)                                                            = Öä²¨ğ¤½¬
liquid_death                                      (thaumcraft:liquid_death)                                                        = ËÀÍöÖ®Ë®
purifying_fluid                                   (thaumcraft:purifying_fluid)                                                     = ¾»»¯Ö®Ë®
stone                                             (tconstruct:molten_stone)                                                        = ÈÛÈÚ½¹ºÚÊ¯Í·
clay                                              (tconstruct:molten_clay)                                                         = ÈÛÈÚÕ³ÍÁ
dirt                                              (tconstruct:molten_dirt)                                                         = ÒºÌ¬ÄàÍÁ
glass                                             (tconstruct:molten_glass)                                                        = ÈÛÈÚ²£Á§
blueslime                                         (tconstruct:blueslime)                                                           = ÒºÌ¬À¶É«Ê·À³Ä·
purpleslime                                       (tconstruct:purpleslime)                                                         = ÒºÌ¬×ÏÉ«Ê·À³Ä·
lifeessence                                       (bloodmagic:life_essence)                                                        = ÉúÃüÔ´ÖÊ
blockfluiddirt                                    (animus:blockfluiddirt)                                                          = ÒºÌ¬ÄàÍÁ
blockfluidantimatter                              (animus:blockfluidantimatter)                                                    = ÒºÌ¬·´ÎïÖÊ
refined_life_essence                              (bloodarsenal:refined_life_essence)                                              = ¾«Á¶ÉúÃü¾«»ª
ichor                                             (netherex:ichor)                                                                 = ²»ĞàÖ®Ñª
lunar_water                                       (nyx:lunar_water)                                                                = ÔÂÂ¶
endacid                                           (stygian:endacid)                                                                = ÓÄÚ¤ËáÒº
fluid_quicksilver                                 (thaumicwonders:fluid_quicksilver)                                               = Ë®Òø
pure_metal                                        ([no block])                                                                     = ´¿½ğÊô
astralsorcery.liquidstarlight                     (astralsorcery:fluidblockliquidstarlight)                                        = ĞÇÄÜÒº
adamantium                                        (jaopca:fluid_moltenadamantium)                                                  = ÈÛÈÚ°¬µÂÂüºÏ½ğ
aeroite                                           (jaopca:fluid_moltenaeroite)                                                     = ÈÛÈÚÔÆ¸¡
antimony                                          (jaopca:fluid_moltenantimony)                                                    = ÈÛÈÚÌà
aqualite                                          (jaopca:fluid_moltenaqualite)                                                    = ÈÛÈÚË®»ª
asgardium                                         (jaopca:fluid_moltenasgardium)                                                   = ÈÛÈÚÉñ½ğ
breakium                                          (jaopca:fluid_moltenbreakium)                                                    = ÈÛÈÚ¶Ï½ğ
caesium                                           (jaopca:fluid_moltencaesium)                                                     = ÈÛÈÚï¤
carbon                                            (jaopca:fluid_moltencarbon)                                                      = ÈÛÈÚÌ¼
cerulean                                          (jaopca:fluid_moltencerulean)                                                    = ÈÛÈÚCerulean
chillinium                                        (jaopca:fluid_moltenchillinium)                                                  = ÈÛÈÚº®ĞÄÌú
circlium                                          (jaopca:fluid_moltencirclium)                                                    = ÈÛÈÚ»·½ğ
cloudite                                          (jaopca:fluid_moltencloudite)                                                    = ÈÛÈÚÔÆÒø
cryonium                                          (jaopca:fluid_moltencryonium)                                                    = ÈÛÈÚ¼«º®
cthulhurite                                       (jaopca:fluid_moltencthulhurite)                                                 = ÈÛÈÚ¿ËËÕÂ³
cytosinite                                        (jaopca:fluid_moltencytosinite)                                                  = ÈÛÈÚ°ûà×
dark_iron                                         (jaopca:fluid_moltendarkiron)                                                    = ÈÛÈÚĞşÌú
dawnium                                           (jaopca:fluid_moltendawnium)                                                     = ÈÛÈÚÔÉÁé½ğ
daynight                                          (jaopca:fluid_moltendaynight)                                                    = ÈÛÈÚDaynight
dilithium                                         (jaopca:fluid_moltendilithium)                                                   = ÈÛÈÚË«ï®
dimesium                                          (jaopca:fluid_moltendimesium)                                                    = ÈÛÈÚÎ¬¶È½ğÊô
draconium_awakened                                (jaopca:fluid_moltendraconiumawakened)                                           = ÈÛÈÚ¾õĞÑÁú
dreadium                                          (jaopca:fluid_moltendreadium)                                                    = ÈÛÈÚ¾åÖÊ
dullium                                           (jaopca:fluid_moltendullium)                                                     = ÈÛÈÚDullium
fenzium                                           (jaopca:fluid_moltenfenzium)                                                     = ÈÛÈÚ·á½ğ
francium                                          (jaopca:fluid_moltenfrancium)                                                    = ÈÛÈÚîÕ
gallium                                           (jaopca:fluid_moltengallium)                                                     = ÈÛÈÚïØ
harcadium                                         (jaopca:fluid_moltenharcadium)                                                   = ÈÛÈÚÄ©¾§
indium                                            (jaopca:fluid_moltenindium)                                                      = ÈÛÈÚî÷
